frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.000000,2,false,false,0.376159161,0.046445765,0.170393243,0.117542721,0.073156878,0.175341636,0.974724174
1,0.016683,2,false,false,0.373514205,0.047445145,0.171966374,-0.112246387,-0.062923037,-0.165230781,-0.977824330
2,0.033367,2,false,false,0.374664813,0.039882019,0.166964844,-0.106193006,-0.051200956,-0.157196999,-0.980505288
3,0.050050,2,false,false,0.374212146,0.035312254,0.164386451,-0.107300803,-0.043379631,-0.148686260,-0.982088208
4,0.066733,2,false,false,0.372785300,0.027780358,0.160822824,-0.112566739,-0.036950350,-0.140060157,-0.983029306
5,0.083417,2,false,false,0.371383727,0.018664341,0.157033622,-0.120964885,-0.032269400,-0.130681306,-0.983488023
6,0.100100,2,false,false,0.367788315,0.007756751,0.152498037,-0.131939605,-0.029643897,-0.120142028,-0.983503461
7,0.116783,2,false,false,0.364295632,-0.003842045,0.147524863,-0.145020589,-0.029407894,-0.107923113,-0.983085394
8,0.133467,2,false,false,0.361235827,-0.015863050,0.141927883,-0.159731314,-0.031494763,-0.094511308,-0.982120991
9,0.150150,2,false,false,0.357006639,-0.026995409,0.135436893,-0.175203711,-0.035412621,-0.079351321,-0.980690062
10,0.166833,2,false,false,0.354579002,-0.037466653,0.129322678,-0.189818367,-0.041059941,-0.062862426,-0.978944063
11,0.183517,2,false,false,0.398491055,-0.023955787,0.102905549,-0.202394053,-0.048767816,-0.044708785,-0.977066815
12,0.200200,2,false,false,0.394200921,-0.040328983,0.091450393,-0.216290429,-0.057805680,-0.025473470,-0.974283397
13,0.216883,2,false,false,0.389255911,-0.050544485,0.082012668,-0.228857175,-0.065643229,-0.010716310,-0.971185148
14,0.233567,2,false,false,0.391669840,-0.061329279,0.072103895,-0.240166605,-0.071795158,0.002203651,-0.968070626
15,0.250250,2,false,false,0.391478479,-0.068828121,0.064137645,-0.252378970,-0.078282773,0.014321294,-0.964350343
16,0.266933,2,false,false,0.392351329,-0.077141166,0.056230649,-0.263706326,-0.083697610,0.025533933,-0.960625708
17,0.283617,2,false,false,0.398162425,-0.087117799,0.048322339,-0.272828698,-0.088573679,0.035812367,-0.957307041
18,0.300300,2,false,false,0.388235986,-0.089333408,0.051634263,-0.286313474,-0.095810905,0.045619231,-0.952241480
19,0.316983,2,false,false,0.380917102,-0.093738958,0.052792367,-0.296911240,-0.103004016,0.054393608,-0.947773874
20,0.333667,2,false,false,0.381076396,-0.103614762,0.053024065,-0.303441167,-0.110245012,0.062306475,-0.944397986
21,0.350350,2,false,false,0.377872586,-0.105310991,0.058190715,-0.311822712,-0.120242976,0.068626322,-0.939999342
22,0.367033,2,false,false,0.376598835,-0.114578813,0.060803764,-0.314225614,-0.128941223,0.075347312,-0.937528253
23,0.383717,2,false,false,0.375402331,-0.113933206,0.064964108,-0.319058359,-0.139192179,0.082063884,-0.933859110
24,0.400400,2,false,false,0.375964642,-0.116108745,0.067785695,-0.320217967,-0.149129733,0.089570262,-0.931234658
